seed,scenario,depth,step,actor_loss,critic_loss,ppo_updates
1,Baseline,0.0,300,-0.01266,0.2678,1
1,Baseline,0.0,600,-0.01413,0.6483,2
1,Baseline,0.0,900,-0.0089,1.3046,3
1,Baseline,0.0,1200,-0.01053,7.5693,4
1,Baseline,0.0,1500,-0.01255,0.0812,5
1,Baseline,0.0,1800,-0.01365,6.1216,6
1,Baseline,0.0,2100,-0.01024,11.9054,7
1,Baseline,0.0,2400,-0.01107,0.4554,8
1,Baseline,0.0,2700,-0.01398,3.3815,9
1,Baseline,0.0,3000,-0.00953,0.1797,10
1,Baseline,0.0,3300,-0.01375,1.5243,11
1,Mild,0.12,300,-0.01066,2.9754,12
1,Mild,0.12,600,-0.00993,1.0684,13
1,Mild,0.12,900,-0.00886,2.976,14
1,Mild,0.12,1200,-0.00854,1.8261,15
1,Mild,0.12,1500,-0.01011,1.8213,16
1,Mild,0.12,1800,-0.01053,1.0933,17
1,Mild,0.12,2100,-0.01531,2.5486,18
1,Mild,0.12,2400,-0.00954,3.3059,19
1,Mild,0.12,2700,-0.01417,3.5724,20
1,Mild,0.12,3000,-0.0112,0.2245,21
1,Mild,0.12,3300,-0.01043,2.8571,22
1,Moderate,0.28,300,-0.00936,2.3014,23
1,Moderate,0.28,600,-0.00982,2.2233,24
1,Moderate,0.28,900,-0.01592,9.3415,25
1,Moderate,0.28,1200,-0.012,2.2759,26
1,Moderate,0.28,1500,-0.00937,3.5664,27
1,Moderate,0.28,1800,-0.00907,1.1343,28
1,Moderate,0.28,2100,-0.01516,1.9927,29
1,Moderate,0.28,2400,-0.01453,4.2203,30
1,Moderate,0.28,2700,-0.01891,10.7374,31
1,Moderate,0.28,3000,-0.01146,0.6404,32
1,Moderate,0.28,3300,-0.01312,1.0371,33
1,Severe,0.55,300,-0.00898,3.2158,34
1,Severe,0.55,600,-0.00971,1.0756,35
1,Severe,0.55,900,-0.00884,0.0966,36
1,Severe,0.55,1200,-0.01033,0.638,37
1,Severe,0.55,1500,-0.01355,0.2136,38
1,Severe,0.55,1800,-0.00992,0.6882,39
1,Severe,0.55,2100,-0.00959,20.9748,40
1,Severe,0.55,2400,-0.01091,0.8675,41
1,Severe,0.55,2700,-0.0164,16.9813,42
1,Severe,0.55,3000,-0.01317,1.6348,43
1,Severe,0.55,3300,-0.01041,1.0516,44
7,Baseline,0.0,300,-0.00975,2.2096,1
7,Baseline,0.0,600,-0.01067,0.9718,2
7,Baseline,0.0,900,-0.01511,1.1493,3
7,Baseline,0.0,1200,-0.0098,1.5731,4
7,Baseline,0.0,1500,-0.01191,1.5354,5
7,Baseline,0.0,1800,-0.0106,0.5962,6
7,Baseline,0.0,2100,-0.00969,1.5528,7
7,Baseline,0.0,2400,-0.00984,1.4664,8
7,Baseline,0.0,2700,-0.01021,0.4699,9
7,Baseline,0.0,3000,-0.00965,0.4969,10
7,Baseline,0.0,3300,-0.00991,0.2188,11
7,Mild,0.12,300,-0.00889,1.646,12
7,Mild,0.12,600,-0.01122,1.8239,13
7,Mild,0.12,900,-0.00907,0.9511,14
7,Mild,0.12,1200,-0.01118,3.741,15
7,Mild,0.12,1500,-0.00916,2.262,16
7,Mild,0.12,1800,-0.01188,6.8737,17
7,Mild,0.12,2100,-0.01132,1.862,18
7,Mild,0.12,2400,-0.00961,1.7542,19
7,Mild,0.12,2700,-0.00963,0.0616,20
7,Mild,0.12,3000,-0.0164,0.3156,21
7,Mild,0.12,3300,-0.00916,7.3615,22
7,Moderate,0.28,300,-0.00933,3.0038,23
