seed,scenario,flood_depth_m,demand_issued,total_arrived,total_teleport,pct_served,avg_wait_s,throughput_vehph,AI,AI_label,cum_reward,ppo_updates
1,Baseline,0.0,965,960,0,99.48,15.08,960.0,0.8943,ANTIFRAGILE,399.147,11
1,Mild,0.12,831,823,0,99.04,17.976,823.0,0.8705,ANTIFRAGILE,291.281,22
1,Moderate,0.28,708,700,0,98.87,18.776,700.0,0.8635,ANTIFRAGILE,505.609,33
1,Severe,0.55,266,243,0,91.35,19.955,243.0,0.7805,ANTIFRAGILE,1065.284,44
7,Baseline,0.0,966,949,0,98.24,22.2,949.0,0.8344,ANTIFRAGILE,-360.128,11
7,Mild,0.12,871,852,0,97.82,22.552,852.0,0.8278,ANTIFRAGILE,-181.53,22
7,Moderate,0.28,743,734,0,98.79,20.699,734.0,0.8499,ANTIFRAGILE,278.821,33
7,Severe,0.55,283,258,0,91.17,23.903,258.0,0.7523,ANTIFRAGILE,768.17,44
21,Baseline,0.0,972,949,0,97.63,16.812,949.0,0.8643,ANTIFRAGILE,258.195,11
21,Mild,0.12,832,823,0,98.92,17.478,823.0,0.8727,ANTIFRAGILE,490.246,22
21,Moderate,0.28,691,686,0,99.28,19.047,686.0,0.8658,ANTIFRAGILE,471.641,33
21,Severe,0.55,296,283,0,95.61,31.784,283.0,0.7442,ANTIFRAGILE,584.426,44
42,Baseline,0.0,976,954,0,97.75,22.191,954.0,0.8295,ANTIFRAGILE,-535.346,11
42,Mild,0.12,848,830,0,97.88,23.967,830.0,0.819,ANTIFRAGILE,-809.806,22
42,Moderate,0.28,708,693,0,97.88,28.29,693.0,0.7902,ANTIFRAGILE,-676.88,33
42,Severe,0.55,289,281,0,97.23,48.117,281.0,0.6515,RESILIENT,-103.845,44
84,Baseline,0.0,944,930,0,98.52,23.529,930.0,0.8283,ANTIFRAGILE,-796.037,11
84,Mild,0.12,849,839,0,98.82,22.192,839.0,0.8403,ANTIFRAGILE,-203.675,22
84,Moderate,0.28,756,731,0,96.69,18.521,731.0,0.8435,ANTIFRAGILE,253.169,33
84,Severe,0.55,311,290,0,93.25,31.738,290.0,0.7209,ANTIFRAGILE,372.507,44
