seed,scenario,depth,step,arrived_cum,arrivals_step,queue,avg_wait_step,reward,cum_reward,AI_step,phase,green_duration,active_vehicles
1,Baseline,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,20,0
1,Baseline,0.0,60,9,0,2,10.75,-0.1211124280977626,-1.0120308833485354,-0.0623,1,54,4
1,Baseline,0.0,120,19,0,9,51.44444444444444,-1.242059928321368,-37.991596322109196,-0.3233,2,63,9
1,Baseline,0.0,180,39,0,9,16.77777777777778,-0.680590394036112,-27.50215300720846,-0.0714,4,73,9
1,Baseline,0.0,240,52,1,1,0.9,1.2114925624469843,-47.32106941408769,0.0479,4,73,10
1,Baseline,0.0,300,66,0,1,17.25,0.07024351093700848,-25.59393521215984,-0.0466,0,50,4
1,Baseline,0.0,360,68,0,2,37.4,-0.3901921474062553,-50.613497520145955,-0.1789,1,49,5
1,Baseline,0.0,420,84,0,9,36.9,-0.9726253493069403,-66.29887652843894,-0.159,2,67,10
1,Baseline,0.0,480,103,1,2,4.75,1.119234359405465,-78.28052721964953,0.0751,3,74,4
1,Baseline,0.0,540,114,0,2,12.0,0.057480572731260504,-61.66377514169133,0.0381,4,55,3
1,Baseline,0.0,600,128,0,3,5.75,0.026179086308328936,-34.81701245916184,0.0943,5,58,4
1,Baseline,0.0,660,138,0,2,1.4285714285714286,0.12197140195222494,-24.87202296893284,0.1335,0,60,7
1,Baseline,0.0,720,152,0,9,12.5,-0.6747188059129263,-16.336992427813378,0.0742,1,59,10
1,Baseline,0.0,780,173,0,7,2.8,-0.3928956405720878,-37.693305733732636,0.1606,2,65,15
1,Baseline,0.0,840,192,0,1,0.47058823529411764,0.26823267681290697,-55.669723986924076,0.1958,3,59,17
1,Baseline,0.0,900,210,1,1,0.08333333333333333,1.2899700621440162,-62.08965692613838,0.2171,4,58,12
1,Baseline,0.0,960,231,0,2,9.4,0.12342040945030991,-50.4148152371743,0.1767,5,52,5
1,Baseline,0.0,1020,237,0,2,27.833333333333332,-0.17046084615697327,-52.53762497658621,0.06,0,58,6
1,Baseline,0.0,1080,247,0,4,11.5,-0.18373515189939593,-64.90579713522726,0.1793,1,63,4
1,Baseline,0.0,1140,268,0,7,5.818181818181818,-0.34481725470026253,-51.682871834274664,0.2389,2,63,11
1,Baseline,0.0,1200,284,2,5,3.4,1.8642388009857918,-61.53609203665869,0.2716,3,74,10
1,Baseline,0.0,1260,305,1,1,3.142857142857143,1.2953707211889491,-50.062390858857945,0.2951,3,74,7
1,Baseline,0.0,1320,320,0,2,2.0,0.22278845841450637,-16.610426480921593,0.3183,4,68,9
1,Baseline,0.0,1380,332,0,2,46.0,-0.33587408458175827,-6.174543699360911,0.0374,5,61,3
1,Baseline,0.0,1440,350,0,4,12.875,-0.10388723163619773,15.536344818453292,0.2769,0,58,8
1,Baseline,0.0,1500,375,1,9,25.76923076923077,0.2427510620385896,20.885244382253887,0.2168,1,66,13
1,Baseline,0.0,1560,402,0,11,26.307692307692307,-0.9315498806507834,20.35764540513609,0.2412,2,66,13
1,Baseline,0.0,1620,420,0,9,27.666666666666668,-0.736455916580983,17.58562271781901,0.2508,3,76,9
1,Baseline,0.0,1680,438,0,3,6.0,0.10800025027875781,39.36319782706886,0.4139,4,64,4
1,Baseline,0.0,1740,451,0,1,1.0,0.37331198422685685,69.83353726703878,0.4607,5,66,2
1,Baseline,0.0,1800,460,0,2,4.5,0.19474689451470106,89.44953624266915,0.4467,0,54,4
1,Baseline,0.0,1860,467,0,6,13.8,-0.31288932110751266,92.10246688203517,0.3919,1,63,10
1,Baseline,0.0,1920,489,1,6,2.8461538461538463,0.8046673424218522,84.70154357552585,0.4878,2,71,13
1,Baseline,0.0,1980,503,0,3,4.6,0.08759326654713168,69.56584140965943,0.4906,3,59,10
1,Baseline,0.0,2040,524,1,0,0.0,1.4345348082970526,73.22502565357115,0.543,4,73,5
1,Baseline,0.0,2100,540,0,2,7.666666666666667,0.18901261441561962,103.15539723494369,0.5085,4,73,3
1,Baseline,0.0,2160,549,1,3,29.2,0.8123599323646108,116.19423421274392,0.3742,5,52,5
1,Baseline,0.0,2220,560,1,0,0.0,1.2826447920589357,109.3744618662701,0.5803,0,61,7
1,Baseline,0.0,2280,589,1,1,7.0,1.2571469008145286,136.7058545462751,0.5637,1,64,4
1,Baseline,0.0,2340,598,0,1,1.3333333333333333,0.3196347402529348,156.60227536354319,0.6108,2,60,6
1,Baseline,0.0,2400,615,0,0,0.0,0.45532471317657985,186.46523806831306,0.6373,3,62,6
1,Baseline,0.0,2460,626,0,2,8.5,0.15634812382754243,209.35497726345943,0.592,4,72,4
1,Baseline,0.0,2520,633,0,2,15.4,0.019022499128353465,215.61112565173107,0.5533,5,67,10
1,Baseline,0.0,2580,653,0,2,12.0,0.13140650841746576,236.09815443660835,0.5967,0,55,5
1,Baseline,0.0,2640,672,1,6,9.0,0.7670970024999965,259.37558462552227,0.6364,1,58,9
1,Baseline,0.0,2700,685,0,12,28.846153846153847,-1.0692609263121913,236.7831830766664,0.5175,2,75,13
1,Baseline,0.0,2760,709,0,0,0.0,0.47134225224826654,262.3593433891802,0.7347,3,58,1
1,Baseline,0.0,2820,726,0,5,7.571428571428571,-0.10673551179921897,297.3592908821195,0.7019,4,48,7
1,Baseline,0.0,2880,742,0,2,25.5,-0.04122270591476601,315.40654921440637,0.5989,5,52,4
1,Baseline,0.0,2940,747,0,2,44.4,-0.3675861442827785,301.54517424420743,0.4781,0,62,5
1,Baseline,0.0,3000,770,1,4,21.125,0.8148140282279133,319.5330424143544,0.6571,1,55,8
1,Baseline,0.0,3060,778,0,14,53.92857142857143,-1.597220693922191,270.0758079063412,0.4467,2,72,14
1,Baseline,0.0,3120,809,0,7,13.416666666666666,-0.38011535083546866,296.4353925232346,0.7489,3,55,12
1,Baseline,0.0,3180,830,0,0,0.0,0.4278042913942522,299.3878858307976,0.8601,4,55,11
1,Baseline,0.0,3240,852,1,4,23.0,0.8219889140408421,332.96414253539024,0.7296,5,68,5
1,Baseline,0.0,3300,874,0,1,6.8,0.31316313339437485,364.4531093178302,0.8604,0,63,5
1,Baseline,0.0,3360,884,0,8,40.888888888888886,-0.80967980136779,350.94473595866424,0.6435,1,63,9
